Waterbody_Name,Fish_Species_Present_at_Waterbody,Number_of_species,Comments,Special_Regulations_on_Waterbody,County,Types_of_Public_Access,Public_Fishing_Access_Owner,Waterbody_Information,Longitude,Latitude,Location
Neversink River,Brook Trout - Brown Trout*,2,None,http://www.dec.ny.gov/outdoor/31496.html,Sullivan,Shore Fishing,Neversink River Unique Area (DEC),http://www.dec.ny.gov/docs/fish_marine_pdf/pfrneversink.pdf,-74.63305287,41.59339653,"(41.593396532, -74.633052866)"
Hudson River (Upper Hudson),Smallmouth Bass - Largemouth Bass - Sunfish - Yellow Perch - Crappie - Northern Pike - Chain Pickerel - Walleye - Carp - Channel Catfish,10,None,,Warren,Shore Fishing - Boat Launch (Hand Launch),Lake George Wild Forest (DEC),http://www.dec.ny.gov/lands/28291.html,-73.81414373,43.51371538,"(43.513715376, -73.814143727)"
Hudson River (Upper Hudson),Smallmouth Bass - Largemouth Bass - Sunfish - Yellow Perch - Crappie - Northern Pike - Chain Pickerel - Walleye - Carp - Channel Catfish,10,None,,Warren,Shore Fishing - Boat Launch (Hand Launch),Lake George Wild Forest (DEC),http://www.dec.ny.gov/lands/28291.html,-73.85298804,43.32541838,"(43.325418379, -73.852988038)"
Hudson River (Upper Hudson),Smallmouth Bass - Largemouth Bass - Sunfish - Yellow Perch - Crappie - Northern Pike - Chain Pickerel - Walleye - Carp - Channel Catfish,10,None,,Warren,Shore Fishing - Boat Launch (Trailer Improved),DEC,http://www.dec.ny.gov/outdoor/23860.html,-73.82599942,43.28732358,"(43.287323582, -73.825999418)"
Hudson River (Upper Hudson),Smallmouth Bass - Largemouth Bass - Sunfish - Yellow Perch - Crappie - Northern Pike - Chain Pickerel - Walleye - Carp - Channel Catfish,10,None,http://www.dec.ny.gov/outdoor/31502.html,Saratoga,Boat Launch (Trailer Improved),DEC,http://www.dec.ny.gov/outdoor/23860.html,-73.58799323,43.25423203,"(43.254232031, -73.587993226)"
East Branch Delaware River (Lower),Brook Trout - Brown Trout* - Rainbow Trout,3,None,http://www.dec.ny.gov/outdoor/31440.html,Delaware,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/docs/fish_marine_pdf/pfreastbranch.pdf,-74.9913589,42.07658202,"(42.076582022, -74.991358898)"
East Branch Delaware River (Lower),Brook Trout - Brown Trout* - Rainbow Trout - Smallmouth Bass - Walleye,5,None,http://www.dec.ny.gov/outdoor/31440.html,Delaware,Shore Fishing - Public Fishing Rights - Boat Launch (Hand Launch),Public Easement - DEC Boat Launch,http://www.dec.ny.gov/docs/fish_marine_pdf/pfreastbranch.pdf,-75.18425268,41.9646901,"(41.964690101, -75.184252676)"
East Branch Delaware River (Lower),Brook Trout - Brown Trout* - Rainbow Trout - Smallmouth Bass - Walleye,5,None,http://www.dec.ny.gov/outdoor/31440.html,Delaware,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/docs/fish_marine_pdf/pfreastbranch.pdf,-75.26223798,41.96372689,"(41.96372689, -75.262237976)"
Beaver Kill,Brown Trout* - Rainbow Trout,2,None,http://www.dec.ny.gov/outdoor/31496.html,Sullivan,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/docs/fish_marine_pdf/pfrbeaverkill.pdf,-74.92804461,41.94955917,"(41.949559169, -74.928044613)"
Beaver Kill,Brown Trout* - Rainbow Trout,2,None,,Delaware,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/docs/fish_marine_pdf/pfrbeaverkill.pdf,-74.90753608,41.96465088,"(41.964650883, -74.907536082)"
Beaver Kill,Brown Trout* - Rainbow Trout,2,Camping available onsite.,,Sullivan,Shore Fishing - Public Fishing Rights,Public Easement - Beaverkill Campground (DEC),http://www.dec.ny.gov/docs/fish_marine_pdf/pfrbeaverkill.pdf,-74.83559897,41.98131463,"(41.981314631, -74.83559897)"
West Branch Delaware River (Upper),Brook Trout - Brown Trout*,2,NYCDEP permit required (1-800-574-LAND).,http://www.dec.ny.gov/outdoor/31440.html,Delaware,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/docs/fish_marine_pdf/pfrwestbranch.pdf,-74.80371162,42.32848302,"(42.328483023, -74.803711617)"
West Branch Delaware River (Upper),Brook Trout - Brown Trout*,2,NYCDEP permit required (1-800-574-LAND).,http://www.dec.ny.gov/outdoor/31440.html,Delaware,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/docs/fish_marine_pdf/pfrwestbranch.pdf,-74.89860496,42.30117207,"(42.301172072, -74.898604961)"
West Branch Delaware River (Upper),Brook Trout - Brown Trout*,2,NYCDEP permit required (1-800-574-LAND).,http://www.dec.ny.gov/outdoor/31440.html,Delaware,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/docs/fish_marine_pdf/pfrwestbranch.pdf,-74.92933106,42.26044153,"(42.260441526, -74.929331058)"
West Branch Delaware River (Lower),Brown Trout* - Rainbow Trout - Smallmouth Bass - Walleye,4,Anglers fishing for migratory marine species must enroll in the recreational marine fishing registry (518-402-8843).,http://www.dec.ny.gov/outdoor/31440.html,Delaware,Shore Fishing - Public Fishing Rights,Public Easement - DEC Boat Launch,http://www.dec.ny.gov/docs/fish_marine_pdf/pfrwestbranch.pdf,-75.38387102,42.00317332,"(42.003173315, -75.383871024)"
Hudson River (Lower),Smallmouth Bass - Largemouth Bass - Sunfish - Yellow Perch - Crappie - Tiger Musky - Northern Pike - Walleye - Carp - Channel Catfish - Striped bass,11,Anglers fishing for migratory marine species must enroll in the recreational marine fishing registry (518-402-8843).,http://www.dec.ny.gov/outdoor/31479.html,Albany,Boat Launch (Trailer Improved),DEC,http://www.dec.ny.gov/outdoor/23912.html,-73.78956993,42.47318154,"(42.47318154, -73.789569928)"
Hudson River (Upper Hudson),Smallmouth Bass - Largemouth Bass - Sunfish - Yellow Perch - Crappie - Northern Pike - Chain Pickerel - Walleye - Carp - Channel Catfish,10,None,http://www.dec.ny.gov/outdoor/31479.html,Rensselear,Shore Fishing - Boat Launch (Trailer Improved),Municipal,http://www.dec.ny.gov/outdoor/23874.html,-73.67422813,42.78458531,"(42.784585314, -73.674228129)"
Hudson River (Lower),Smallmouth Bass - Largemouth Bass - Sunfish - Yellow Perch - Crappie - Tiger Musky - Northern Pike - Walleye - Carp - Channel Catfish - Striped bass,11,Anglers fishing for migratory marine species must enroll in the recreational marine fishing registry (518-402-8843).,http://www.dec.ny.gov/outdoor/31479.html,Rensselear,Shore Fishing - Boat Launch (Trailer Improved),Municipal,http://www.dec.ny.gov/outdoor/23874.html,-73.73470358,42.65869099,"(42.65869099, -73.734703578)"
Hudson River (Lower),Smallmouth Bass - Largemouth Bass - Sunfish - Yellow Perch - Crappie - Tiger Musky - Northern Pike - Walleye - Carp - Channel Catfish - Striped bass,11,Anglers fishing for migratory marine species must enroll in the recreational marine fishing registry (518-402-8843).,http://www.dec.ny.gov/outdoor/31479.html,Rensselear,Shore Fishing - Boat Launch (Trailer Improved),Schodack Island State Park,http://www.dec.ny.gov/outdoor/23874.html,-73.77642607,42.49995675,"(42.499956752, -73.776426071)"
Hudson River (Lower),Smallmouth Bass - Largemouth Bass - Sunfish - Yellow Perch - Crappie - Tiger Musky - Northern Pike - Walleye - Carp - Channel Catfish - Striped bass,11,Anglers fishing for migratory marine species must enroll in the recreational marine fishing registry (518-402-8843).,http://www.dec.ny.gov/outdoor/31479.html,Albany,Shore Fishing - Boat Launch (Trailer Improved),Henry Hudson Town Park (Municipal),http://www.dec.ny.gov/outdoor/23912.html,-73.75899975,42.54775956,"(42.547759562, -73.758999748)"
Hudson River (Lower),Smallmouth Bass - Largemouth Bass - Sunfish - Yellow Perch - Crappie - Tiger Musky - Northern Pike - Walleye - Carp - Channel Catfish - Striped bass,11,Anglers fishing for migratory marine species must enroll in the recreational marine fishing registry (518-402-8843).,http://www.dec.ny.gov/outdoor/31438.html,Columbia,Boat Launch (Trailer Improved),Hudson State Boat Launch (New York State Parks),http://www.dec.ny.gov/outdoor/23902.html,-73.79760444,42.25639975,"(42.25639975, -73.797604436)"
Hudson River (Lower),Smallmouth Bass - Largemouth Bass - Sunfish - Yellow Perch - Crappie - Tiger Musky - Northern Pike - Walleye - Carp - Channel Catfish - Striped bass,11,Anglers fishing for migratory marine species must enroll in the recreational marine fishing registry (518-402-8843).,http://www.dec.ny.gov/outdoor/31438.html,Columbia,Shore Fishing - Boat Launch (Trailer Improved),Ernest R. Lasher Memorial Park (Municipal),http://www.dec.ny.gov/outdoor/23902.html,-73.88642011,42.15865028,"(42.158650282, -73.886420105)"
Hudson River (Lower),Smallmouth Bass - Largemouth Bass - Sunfish - Yellow Perch - Crappie - Tiger Musky - Northern Pike - Walleye - Carp - Channel Catfish - Striped bass,11,Anglers fishing for migratory marine species must enroll in the recreational marine fishing registry (518-402-8843).,http://www.dec.ny.gov/outdoor/31450.html,Greene,Boat Launch (Trailer Improved),Coxsackie Boat Launch (New York State Park),http://www.dec.ny.gov/outdoor/23902.html,-73.79566516,42.35315263,"(42.353152633, -73.795665163)"
Schenevus Creek,Brook Trout - Brown Trout*,2,None,,Otsego,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/docs/fish_marine_pdf/pfrschenevus.pdf,-74.68381723,42.60989513,"(42.609895131, -74.683817233)"
Hudson River (Lower),Smallmouth Bass - Largemouth Bass - Sunfish - Yellow Perch - Crappie - Tiger Musky - Northern Pike - Walleye - Carp - Channel Catfish - Striped bass,11,Anglers fishing for migratory marine species must enroll in the recreational marine fishing registry (518-402-8843).,http://www.dec.ny.gov/outdoor/31450.html,Greene,Boat Launch (Trailer Improved),Athens State Boat launch,http://www.dec.ny.gov/outdoor/23902.html,-73.80181332,42.2726584,"(42.272658397, -73.801813315)"
Hudson River (Lower),Smallmouth Bass - Largemouth Bass - Sunfish - Yellow Perch - Crappie - Tiger Musky - Northern Pike - Walleye - Carp - Channel Catfish - Striped bass,11,Anglers fishing for migratory marine species must enroll in the recreational marine fishing registry (518-402-8843).,http://www.dec.ny.gov/outdoor/31450.html,Greene,Shore Fishing - Boat Launch (Trailer Improved),Dutchman's Landing Park (Municipal),http://www.dec.ny.gov/outdoor/23902.html,-73.85635912,42.21324016,"(42.213240158, -73.856359119)"
Hudson River (Lower),Smallmouth Bass - Largemouth Bass - Sunfish - Yellow Perch - Crappie - Tiger Musky - Northern Pike - Walleye - Carp - Channel Catfish - Striped bass,11,Anglers fishing for migratory marine species must enroll in the recreational marine fishing registry (518-402-8843).,http://www.dec.ny.gov/outdoor/31500.html,Ulster,Boat Launch (Trailer Improved),DEC,http://www.dec.ny.gov/outdoor/23861.html,-73.95493106,41.97286582,"(41.972865815, -73.95493106)"
Hudson River (Lower),Smallmouth Bass - Largemouth Bass - Sunfish - Yellow Perch - Crappie - Tiger Musky - Northern Pike - Walleye - Carp - Channel Catfish - Striped bass,11,Anglers fishing for migratory marine species must enroll in the recreational marine fishing registry (518-402-8843).,http://www.dec.ny.gov/outdoor/31500.html,Ulster,Boat Launch (Trailer Improved),Municipal,http://www.dec.ny.gov/outdoor/23861.html,-73.93093436,42.0986043,"(42.098604297, -73.930934355)"
Hudson River (Lower),Smallmouth Bass - Largemouth Bass - Sunfish - Yellow Perch - Crappie - Tiger Musky - Northern Pike - Walleye - Carp - Channel Catfish - Striped bass,11,Anglers fishing for migratory marine species must enroll in the recreational marine fishing registry (518-402-8843).,http://www.dec.ny.gov/outdoor/31500.html,Ulster,Boat Launch (Trailer Improved),Municipal,http://www.dec.ny.gov/outdoor/23861.html,-73.94011231,42.04490048,"(42.044900483, -73.94011231)"
Hudson River (Lower),Smallmouth Bass - Largemouth Bass - Sunfish - Yellow Perch - Crappie - Tiger Musky - Northern Pike - Walleye - Carp - Channel Catfish - Striped bass,11,Anglers fishing for migratory marine species must enroll in the recreational marine fishing registry (518-402-8843).,http://www.dec.ny.gov/outdoor/31500.html,Ulster,Boat Launch (Trailer Improved),Municipal,http://www.dec.ny.gov/outdoor/23861.html,-73.97471108,41.92010631,"(41.920106306, -73.974711081)"
Hudson River (Lower),Smallmouth Bass - Largemouth Bass - Sunfish - Yellow Perch - Crappie - Tiger Musky - Northern Pike - Walleye - Carp - Channel Catfish - Striped bass,11,Campground and marina available. Anglers fishing for migratory marine species must enroll in the recreational marine fishing registry (518-402-8843).,http://www.dec.ny.gov/outdoor/31500.html,Dutchess,Shore Fishing - Boat Launch (Trailer Improved),Margaret Lewis Norrie State Park,http://www.dec.ny.gov/outdoor/23899.html,-73.94181033,41.83400968,"(41.834009683, -73.941810327)"
Hudson River (Lower),Smallmouth Bass - Largemouth Bass - Sunfish - Yellow Perch - Crappie - Tiger Musky - Northern Pike - Walleye - Carp - Channel Catfish - Striped bass,11,Anglers fishing for migratory marine species must enroll in the recreational marine fishing registry (518-402-8843).,http://www.dec.ny.gov/outdoor/31474.html,Orange,Boat Launch (Trailer Improved),Municipal,http://www.dec.ny.gov/outdoor/23879.html,-74.00536846,41.49827094,"(41.498270942, -74.005368463)"
Hudson River (Lower),Smallmouth Bass - Largemouth Bass - Sunfish - Yellow Perch - Crappie - Tiger Musky - Northern Pike - Walleye - Carp - Channel Catfish - Striped bass,11,Anglers fishing for migratory marine species must enroll in the recreational marine fishing registry (518-402-8843).,http://www.dec.ny.gov/outdoor/31474.html,Orange,Shore Fishing - Boat Launch (Hand Launch),Sloop Hill State Unique Area (DEC),http://www.dec.ny.gov/outdoor/23879.html,-74.01237028,41.46220104,"(41.46220104, -74.012370281)"
Hudson River (Lower),Smallmouth Bass - Largemouth Bass - Sunfish - Yellow Perch - Crappie - Tiger Musky - Northern Pike - Walleye - Carp - Channel Catfish - Striped bass,11,Fishing pier available. Anglers fishing for migratory marine species must enroll in the recreational marine fishing registry (518-402-8843).,http://www.dec.ny.gov/outdoor/31480.html,Rockland,Boat Launch (Trailer Improved),Municipal,http://www.dec.ny.gov/outdoor/23873.html,-73.96474774,41.2123191,"(41.212319102, -73.964747741)"
Hudson River (Lower),Smallmouth Bass - Largemouth Bass - Sunfish - Yellow Perch - Crappie - Tiger Musky - Northern Pike - Walleye - Carp - Channel Catfish - Striped bass,11,OPRHP permit required (845-358-1316) Anglers fishing for migratory marine species must enroll in the recreational marine fishing registry.,http://www.dec.ny.gov/outdoor/31480.html,Rockland,Shore Fishing - Boat Launch (Trailer Improved),Nyack Beach State Park,http://www.dec.ny.gov/outdoor/23873.html,-73.91166012,41.12046335,"(41.120463353, -73.911660123)"
Hudson River (Lower),Smallmouth Bass - Largemouth Bass - Sunfish - Yellow Perch - Crappie - Tiger Musky - Northern Pike - Walleye - Carp - Channel Catfish - Striped bass,11,Anglers fishing for migratory marine species must enroll in the recreational marine fishing registry (518-402-8843).,http://www.dec.ny.gov/outdoor/31504.html,Westchester,Shore Fishing - Boat Launch (Hand Launch),JFK Marina and Park (Municipal),http://www.dec.ny.gov/outdoor/23856.html,-73.89744294,40.95640397,"(40.956403965, -73.897442938)"
Hudson River (Lower),Smallmouth Bass - Largemouth Bass - Sunfish - Yellow Perch - Crappie - Tiger Musky - Northern Pike - Walleye - Carp - Channel Catfish - Striped bass,11,Anglers fishing for migratory marine species must enroll in the recreational marine fishing registry (518-402-8843).,http://www.dec.ny.gov/outdoor/31504.html,Westchester,Shore Fishing - Boat Launch (Hand Launch),Municipal,http://www.dec.ny.gov/outdoor/23856.html,-73.8732293,41.04257044,"(41.042570436, -73.873229297)"
Hudson River (Lower),Smallmouth Bass - Largemouth Bass - Sunfish - Yellow Perch - Crappie - Tiger Musky - Northern Pike - Walleye - Carp - Channel Catfish - Striped bass,11,Anglers fishing for migratory marine species must enroll in the recreational marine fishing registry (518-402-8843).,http://www.dec.ny.gov/outdoor/31504.html,Westchester,Boat Launch (Trailer Improved),Municipal,http://www.dec.ny.gov/outdoor/23856.html,-73.9324525,41.28534185,"(41.285341851, -73.932452499)"
Rondout Creek,Brook Trout - Brown Trout*,2,None,http://www.dec.ny.gov/outdoor/31500.html,Ulster,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/docs/fish_marine_pdf/pfrrondoutck.pdf,-74.29623795,41.77437696,"(41.77437696, -74.296237949)"
Wallkill River,Smallmouth Bass - Walleye - Carp,3,Electric Motors Only.,http://www.dec.ny.gov/outdoor/31500.html,Ulster,Boat Launch (Hand Launch),Municipal,http://www.dec.ny.gov/outdoor/58866.html,-74.09338214,41.74372088,"(41.743720878, -74.093382138)"
Esopus Creek,Brook Trout - Brown Trout* - Rainbow Trout,3,None,http://www.dec.ny.gov/outdoor/31500.html,Ulster,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/docs/fish_marine_pdf/pfresopusck.pdf,-74.30346125,42.06736913,"(42.067369131, -74.303461251)"
Esopus Creek,Brook Trout - Brown Trout* - Rainbow Trout,3,None,http://www.dec.ny.gov/outdoor/31500.html,Ulster,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/docs/fish_marine_pdf/pfresopusck.pdf,-74.35199072,42.10652994,"(42.106529941, -74.351990724)"
Esopus Creek,Brook Trout - Brown Trout* - Rainbow Trout,3,None,http://www.dec.ny.gov/outdoor/31500.html,Ulster,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/docs/fish_marine_pdf/pfresopusck.pdf,-74.42403632,42.11756613,"(42.117566126, -74.424036324)"
Schoharie Creek (Lower),Smallmouth Bass - Walleye - Carp,3,None,http://www.dec.ny.gov/outdoor/31490.html,Schoharie,Boat Launch (Hand Launch),DEC,http://www.dec.ny.gov/outdoor/23870.html,-74.33322767,42.73979526,"(42.73979526, -74.333227674)"
Schoharie Creek (Lower),Smallmouth Bass - Walleye - Carp,3,None,http://www.dec.ny.gov/outdoor/31490.html,Schoharie,Boat Launch (Hand Launch),DEC,http://www.dec.ny.gov/outdoor/23870.html,-74.32451638,42.70814303,"(42.708143031, -74.324516379)"
Hoosic River,Brown Trout - Rainbow Trout - Smallmouth Bass - Carp,4,None,http://www.dec.ny.gov/outdoor/31502.html,Rensselear,Boat Launch (Hand Launch),DEC,http://www.dec.ny.gov/outdoor/23874.html,-73.43339511,42.95776592,"(42.957765917, -73.433395106)"
Catskill Creek,Brown Trout*,1,None,,Albany,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/docs/fish_marine_pdf/pfrcatskillc.pdf,-74.201479,42.41444746,"(42.414447458, -74.201479004)"
Catskill Creek,Brown Trout*,1,None,,Albany,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/docs/fish_marine_pdf/pfrcatskillc.pdf,-74.21222735,42.44768339,"(42.447683387, -74.212227354)"
Catskill Creek,Brown Trout*,1,None,,Schoharie,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/docs/fish_marine_pdf/pfrcatskillc.pdf,-74.24740907,42.47237439,"(42.472374393, -74.247409065)"
Kinderhook Creek,Brook Trout - Brown Trout*,2,None,http://www.dec.ny.gov/outdoor/31479.html,Rensselear,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/docs/fish_marine_pdf/pfrkinderhook.pdf,-73.50590017,42.50571861,"(42.505718611, -73.505900174)"
Kinderhook Creek,Brook Trout - Brown Trout*,2,None,http://www.dec.ny.gov/outdoor/31479.html,Rensselear,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/docs/fish_marine_pdf/pfrkinderhook.pdf,-73.40731384,42.53598754,"(42.535987538, -73.407313844)"
Schoharie Creek (Upper),Brook Trout - Brown Trout*,2,None,,Greene,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/docs/fish_marine_pdf/pfrschoharie.pdf,-74.37113147,42.24362514,"(42.243625144, -74.371131466)"
Schoharie Creek (Upper),Brook Trout - Brown Trout*,2,None,,Greene,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/docs/fish_marine_pdf/pfrschoharie.pdf,-74.28445513,42.22795714,"(42.227957137, -74.284455128)"
Schoharie Creek (Upper),Brook Trout - Brown Trout*,2,None,,Greene,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/docs/fish_marine_pdf/pfrschoharie.pdf,-74.20770248,42.20707037,"(42.20707037, -74.207702481)"
Unadilla River,Smallmouth Bass - Largemouth Bass - Sunfish - Yellow Perch - Chain Pickerel - Walleye - Carp,7,None,,Chenango,Boat Launch (Hand Launch),DEC,http://www.dec.ny.gov/outdoor/63437.html,-75.36644314,42.55324711,"(42.553247105, -75.366443143)"
Unadilla River,Smallmouth Bass - Largemouth Bass - Sunfish - Yellow Perch - Chain Pickerel - Walleye - Carp,7,None,,Chenango,Boat Launch (Hand Launch),DEC,http://www.dec.ny.gov/outdoor/63437.html,-75.38277692,42.52847212,"(42.528472122, -75.382776917)"
Unadilla River,Smallmouth Bass - Largemouth Bass - Sunfish - Yellow Perch - Chain Pickerel - Walleye - Carp,7,None,,Chenango,Boat Launch (Hand Launch),DEC,http://www.dec.ny.gov/outdoor/63437.html,-75.39794466,42.3937117,"(42.393711696, -75.397944664)"
Schenevus Creek,Brook Trout - Brown Trout*,2,None,,Otsego,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/docs/fish_marine_pdf/pfrschenevus.pdf,-74.85263911,42.54075856,"(42.540758558, -74.852639108)"
Schenevus Creek,Brook Trout - Brown Trout*,2,None,,Otsego,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/docs/fish_marine_pdf/pfrschenevus.pdf,-74.74993907,42.58885706,"(42.588857057, -74.749939073)"
Charlotte Creek,Brook Trout - Brown Trout*,2,None,,Otsego,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/docs/fish_marine_pdf/pfrcharlotte.pdf,-74.99784743,42.4437082,"(42.443708197, -74.997847427)"
Butternut Creek,Brook Trout - Brown Trout*,2,None,,Otsego,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/docs/fish_marine_pdf/pfrbuternut.pdf,-75.14479128,42.67057048,"(42.670570475, -75.144791275)"
Chautauqua Creek,Brown Trout,1,None,http://www.dec.ny.gov/outdoor/31420.html,Chautauqua,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/docs/fish_marine_pdf/chautauquacreek.pdf,-79.58991965,42.20363342,"(42.203633417, -79.589919649)"
Niagara River (Lower),Brown Trout* - Steelhead* - Chinook Salmon* - Coho Salmon* - Lake Trout - Smallmouth Bass - Yellow Perch - Muskellunge - Walleye* - Carp,10,None,http://www.dec.ny.gov/outdoor/31425.html,Niagara,Shore Fishing - Boat Launch (Trailer Improved),Municipal,http://www.dec.ny.gov/outdoor/67913.html,-79.0496625,43.17402956,"(43.174029561, -79.049662499)"
Niagara River (Lower),Brown Trout* - Steelhead* - Chinook Salmon* - Coho Salmon* - Lake Trout - Smallmouth Bass - Yellow Perch - Muskellunge - Walleye* - Carp,10,None,http://www.dec.ny.gov/outdoor/31425.html,Niagara,Shore Fishing,Joseph Davis State Park,http://www.dec.ny.gov/outdoor/67913.html,-79.05130954,43.21490624,"(43.214906243, -79.051309539)"
Niagara River (Lower),Brown Trout* - Steelhead* - Chinook Salmon* - Coho Salmon* - Lake Trout - Smallmouth Bass - Yellow Perch - Muskellunge - Walleye* - Carp,10,None,http://www.dec.ny.gov/outdoor/31425.html,Niagara,Shore Fishing,Artpark State Park,http://www.dec.ny.gov/outdoor/67913.html,-79.04646433,43.16676389,"(43.166763893, -79.046464334)"
Niagara River (Lower),Brown Trout* - Steelhead* - Chinook Salmon* - Coho Salmon* - Lake Trout - Smallmouth Bass - Yellow Perch - Muskellunge - Walleye* - Carp,10,Steep hike in.,http://www.dec.ny.gov/outdoor/31425.html,Niagara,Shore Fishing,Devils Hole State Park,http://www.dec.ny.gov/outdoor/67913.html,-79.04761611,43.13302607,"(43.133026069, -79.047616105)"
Niagara River (Lower),Brown Trout* - Steelhead* - Chinook Salmon* - Coho Salmon* - Lake Trout - Smallmouth Bass - Yellow Perch - Muskellunge - Walleye* - Carp,10,Steep hike in.,http://www.dec.ny.gov/outdoor/31425.html,Niagara,Shore Fishing,Whirlpool State Park,http://www.dec.ny.gov/outdoor/67913.html,-79.0639875,43.12037132,"(43.120371315, -79.063987499)"
Eighteen Mile Creek,Brown Trout* - Steelhead* - Smallmouth Bass,3,None,http://www.dec.ny.gov/outdoor/31420.html,Erie,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/docs/fish_marine_pdf/eighteenmilesouth.pdf,-78.96649744,42.71145572,"(42.711455717, -78.966497439)"
Eighteen Mile Creek,Brown Trout* - Steelhead* - Smallmouth Bass,3,None,http://www.dec.ny.gov/outdoor/31420.html,Erie,Shore Fishing,Eighteenmile Creek County Park (Undeveloped),http://www.dec.ny.gov/docs/fish_marine_pdf/eighteenmilesouth.pdf,-78.89299115,42.70664963,"(42.706649627, -78.892991148)"
Cattaraugus Creek (Upper),Brown Trout* - Rainbow Trout,2,None,http://www.dec.ny.gov/outdoor/31505.html,Wyoming,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/docs/fish_marine_pdf/cattcreekhosmer.pdf,-78.45781014,42.53628241,"(42.536282407, -78.457810136)"
Cattaraugus Creek (Upper),Brown Trout* - Rainbow Trout,2,None,http://www.dec.ny.gov/outdoor/31505.html,Wyoming,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/docs/fish_marine_pdf/cattcreekhosmer.pdf,-78.33513571,42.58609231,"(42.586092314, -78.335135708)"
Cattaraugus Creek (Lower),Brown Trout* - Steelhead* - Smallmouth Bass - Channel Catfish,4,None,http://www.dec.ny.gov/outdoor/31420.html,Erie,Shore Fishing,County Park,http://www.dec.ny.gov/docs/fish_marine_pdf/cattcreeksteelhead.pdf,-78.70013164,42.48341532,"(42.483415317, -78.700131638)"
Cattaraugus Creek (Lower),Brown Trout* - Steelhead* - Smallmouth Bass - Channel Catfish,4,None,http://www.dec.ny.gov/outdoor/31420.html,Cattaraugus,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/docs/fish_marine_pdf/cattcreeksteelhead.pdf,-78.7447426,42.47384602,"(42.473846016, -78.7447426)"
Cattaraugus Creek (Lower),Brown Trout* - Steelhead* - Smallmouth Bass - Channel Catfish,4,None,http://www.dec.ny.gov/outdoor/31420.html,Cattaraugus,Shore Fishing,Zoar Valley Multiple Use Area (DEC),http://www.dec.ny.gov/docs/fish_marine_pdf/cattcreeksteelhead.pdf,-78.90390454,42.44369168,"(42.443691682, -78.903904539)"
Lime Lake Outlet,Brown Trout - Rainbow Trout,2,None,http://www.dec.ny.gov/outdoor/31432.html,Cattaraugus,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/docs/fish_marine_pdf/limelakemckin.pdf,-78.48621725,42.48867392,"(42.488673921, -78.486217246)"
Genesee River (Upper),Brown Trout* - Rainbow Trout* - Smallmouth Bass,3,None,http://www.dec.ny.gov/outdoor/31494.html,Allegany,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/docs/fish_marine_pdf/geneseeriver.pdf,-77.94607424,42.11613808,"(42.116138081, -77.946074243)"
Genesee River (Upper),Brown Trout* - Rainbow Trout* - Smallmouth Bass,3,None,http://www.dec.ny.gov/outdoor/31494.html,Allegany,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/docs/fish_marine_pdf/geneseeriver.pdf,-77.92483747,42.07549611,"(42.075496111, -77.924837466)"
